song,plays
BAILE INoLVIDABLE,25
Neverita,25
CAFé CON RON,25
Yo perreo sola,25
VOY A LLeVARTE PA PR,25
VeLDÁ,25
TURiSTA,25
Tití me preguntó,25
Si veo a tu mamá,25
Safaera,25
PIToRRO DE COCO,25
Ojitos lindos,25
NUEVAYoL,25
No me conoce ( Jhayco cover ),25
WELTiTA,25
MONACO,25
LA MuDANZA,25
La canción ( J Balvin & Bad Bunny song ),25
KLOuFRENS,25
EoO,25
El apagón,25
Efecto,25
DtMF,25
"Diles ( Bad Bunny, Ñengo Flow, Ozuna, Arcángel & Farruko song )",25
Callaíta,25
DÁKITI ( Bad Bunny & Jhay Cortez song ),25
Me porto bonito,25
Bichiyal,24
BOKeTE,15
Ábreme paso ( Los Pleneros de la Cresta cover ),15
Rayo de Sol ( Los Pleneros de la Cresta cover ),3
Gracias a la vida ( Violeta Parra cover ),2
La romana,2
NO ME QUIERO CASAR,1
Qué malo,1
Qué pretendes ( J Balvin & Bad Bunny song ),1
Por amar a ciegas ( Arcángel cover ),1
PERRO NEGRO,1
PERFuMITO NUEVO,1
Pa que la pases bien ( Arcángel cover ),1
Otra noche en Miami,1
Lo Siento BB:/ ( Tainy cover ),1
MOJABI GHOST ( Tainy cover ),1
Me prefieres a mí ( Don Omar cover ),1
Me acostumbré ( Arcángel cover ),1
Mayores ( Becky G cover ),1
Mas que nada ( Jorge Ben Jor cover ),1
MAMIII ( Becky G x KAROL G cover ),1
"Loca ( Khea, Duki & Cazzu cover )",1
Salgo Pa' la Calle ( Daddy Yankee feat. Randy cover ),1
Que sensación ( Arcángel cover ),1
un x100to ( Grupo Frontera & Bad Bunny song ),1
Si estuviésemos juntos,1
Te mudaste,1
Vete,1
Una vez,1
LATINA FOREVA / Si antes te hubiera conocido ( KAROL G cover ),1
Tú no vive así ( Mambo Kingz & DJ Luian presenta Arcángel x Bad Bunny song ),1
Tú no metes cabra,1
THUNDER Y LIGHTNING,1
Te recuerdo Amanda ( Víctor Jara cover ),1
Te deseo lo mejor,1
"Si tu novio te deja sola ( Cardi B, Bad Bunny & J Balvin song )",1
Te boté,1
Tarot,1
Soy peor,1
Soy El Diablo (Remix) ( Natanael Cano cover ),1
Soy Aventurero,1
Solo de mí,1
Siente el boom ( Tito “El Bambino” feat. Randy cover ),1
Lento ( Julieta Venegas cover ),1
Después de la playa,1
La Jumpa ( Arcángel cover ),1
Booker T,1
Coco Chanel ( Eladio Carrión cover ),1
Classy 101 ( Young Miko & Feid cover ),1
Cielito lindo ( Quirino Mendoza y Cortés cover ),1
CHORRITO PA LAS ANIMAS ( Feid cover ),1
Chambea,1
Castigo ( Feid cover ),1
Caro,1
Bonita ( J Balvin feat. Jowell & Randy cover ),1
La Guadalupana,1
Aparentemente ( Yaga & Mackie cover ),1
Amorfoda,1
"Alma, Corazón Y Vida ( Los Embajadores Criollos cover )",1
ALAKRAN ( Feid cover ),1
Ahora me llama ( KAROL G cover ),1
A tu merced,1
25/8,1
Cómo se siente ( Jhayco cover ),1
Con otra ( Cazzu cover ),1
Cuando Me dirá,1
Dale pa'l piso ( Watussi cover ),1
La flor de la canela ( Chabuca Granda cover ),1
La corriente,1
Kemba Walker ( Eladio Carrión cover ),1
Interlude,1
I Like It ( Cardi B cover ),1
Hey Mister ( Jowell & Randy cover ),1
Hace mucho tiempo ( Arcángel cover ),1
Gata oficial ( Luigi 21 Plus cover ),1
Ganas de ti ( Arcángel cover ),1
Fuera del planeta ( Eloy cover ),1
Flow violento ( Arcángel cover ),1
El derecho de vivir en paz ( Víctor Jara cover ),1
El cóndor pasa ( Daniel Alomía Robles cover ),1
Demaga ge gi go gu ( El Alfa cover ),1
De música ligera ( Soda Stereo cover ),1
WHERE SHE GOES,1
